GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Speed (OBD)(mph),Engine RPM(rpm),Trip Distance(miles),Throttle Position(Manifold)(%)
Fri Feb 19 17:57:44 EST 2016,2/19/2016 17:57:45,-75.74409608,39.62610566,21.5,3,-12.30000019,182.2,-0.91937345,10.036493,0.91937345,0.050637066,47.84558314,2147.5,2.717517424,23.92156982
Fri Feb 19 17:57:44 EST 2016,2/19/2016 17:57:45,-75.74409608,39.62610566,21.5,3,-12.30000019,182.2,-0.38307226,10.342952,1.4173675,0.08389717,47.84558314,2147.5,2.717517424,23.92156982
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:45,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-1.1875241,10.151415,0.9576807,0.046459988,47.84558314,2191.25,2.717517424,23.92156982
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:45,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-0.22984336,10.189722,1.6472107,0.05696677,47.84558314,2191.25,2.720348206,25.09803963
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:45,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-1.0342951,11.377247,0.5746084,0.18501478,47.22421193,2141.25,2.722764474,25.09803963
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:45,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-1.532289,9.385271,1.0726024,0.038969196,47.22421193,2141.25,2.722764474,25.09803963
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:45,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-1.0726024,10.151415,0.91937345,0.038038608,47.22421193,2075.75,2.725125632,25.09803963
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:45,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-1.0342951,9.500193,1.1875241,6.34E-04,47.22421193,2075.75,2.725125632,24.31372643
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:45,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-0.842759,10.304645,0.8810662,0.0767495,47.22421193,2042,2.72748679,21.96078491
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:45,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,0.038307227,9.270349,1.3790601,0.059522893,47.22421193,1946.75,2.72748679,21.96078491
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:46,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-0.91937345,9.691729,1.3024458,0.052313596,46.60284072,1946.75,2.729871652,20.7843132
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:46,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-0.6512229,9.615114,1.2641385,0.00979501,46.60284072,1942.75,2.729871652,20.7843132
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:46,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-0.9576807,10.802638,0.9959879,0.018749222,46.60284072,1942.75,2.732240513,21.96078491
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:46,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-1.5705963,10.342952,1.5705963,0.029670442,47.84558314,1954.5,2.734654115,21.96078491
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:46,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-0.9576807,9.691729,1.0342951,0.017338157,47.84558314,1954.5,2.734654115,21.56862831
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:46,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-0.15322891,9.232041,1.3024458,0.10712713,47.84558314,1945.25,2.737126087,21.56862831
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:46,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-1.2641385,9.232041,1.532289,0.021613402,47.84558314,1945.25,2.737126087,21.96078491
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:46,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-0.6512229,9.998186,1.3790601,0.031394735,47.84558314,1958.5,2.739611391,21.96078491
Fri Feb 19 17:57:45 EST 2016,2/19/2016 17:57:46,-75.74410652,39.62591222,21.25,3,-12.60000038,182.5,-1.3024458,9.461885,0.842759,-0.0036079884,47.84558314,1958.5,2.739611391,25.09803963
Fri Feb 19 17:57:46 EST 2016,2/19/2016 17:57:46,-75.74411965,39.62571858,21.25,3,-13,182.5,-1.4173675,10.151415,1.5705963,0.015192262,47.22421193,1964,2.74202766,25.09803963
Fri Feb 19 17:57:46 EST 2016,2/19/2016 17:57:47,-75.74411965,39.62571858,21.25,3,-13,182.5,-1.1875241,10.457873,1.4556746,0.038407862,47.22421193,1966.25,2.74202766,24.70588303
Fri Feb 19 17:57:46 EST 2016,2/19/2016 17:57:47,-75.74411965,39.62571858,21.25,3,-13,182.5,-1.3024458,11.683704,0.5746084,0.047527228,47.22421193,1966.25,2.744480669,25.09803963
Fri Feb 19 17:57:46 EST 2016,2/19/2016 17:57:47,-75.74411965,39.62571858,21.25,3,-13,182.5,-1.6472107,10.6877165,0.80445176,0.12438089,47.22421193,1974,2.744480669,25.09803963
